density,keff,keff unc
0.1,0.88741,0.00053
0.2,0.92392,0.00061
0.3,0.95087,0.00055
0.4,0.97285,0.00056
0.5,0.98858,0.00058
0.6,1.00131,0.00051
0.7,1.01275,0.00051
0.8,1.0196,0.00056
0.9,1.02518,0.00051
1.0,1.02777,0.00043
1.1,1.03097,0.00051
1.2,1.03095,0.00042
1.3,1.03003,0.00044
1.4,1.02912,0.00051
1.5,1.02819,0.00051
1.6,1.0244,0.00051
1.7,1.01959,0.00052
1.8,1.0161,0.00043
1.9,1.01124,0.00048
2.0,1.00676,0.00053
