density,D density,D rho,rho unc,D dollars,dollars unc,void rho,void rho unc,void dollars,void dollars unc
0.1,0.9,-15.3894501944334,-0.0756674359501087,-20.5192669259112,-0.100889914600145,-1.7099389104925997,-0.008407492883345411,-2.2799185473234664,-0.011209990511127223
0.2,0.8,-10.936445568945407,-0.0790589300365744,-14.581927425260544,-0.1054119067154326,-1.367055696118176,-0.0098823662545718,-1.822740928157568,-0.013176488339429075
0.3,0.7,-7.8688135963468975,-0.0716579180551178,-10.491751461795864,-0.0955438907401571,-1.124116228049557,-0.0102368454364454,-1.4988216373994092,-0.013649127248593872
0.4,0.6,-5.492735782168076,-0.0707220877614085,-7.323647709557435,-0.0942961170152114,-0.9154559636946793,-0.011787014626901416,-1.2206079515929058,-0.015716019502535237
0.5,0.5,-3.857158689279753,-0.0711161199515231,-5.142878252373004,-0.0948214932686975,-0.7714317378559505,-0.01422322399030462,-1.0285756504746009,-0.0189642986537395
0.6,0.4,-2.571137778744222,-0.0648431189679213,-3.428183704992296,-0.0864574919572284,-0.6427844446860554,-0.016210779741980326,-0.857045926248074,-0.021614372989307098
0.7,0.3,-1.4430179854586522,-0.0640957153256526,-1.9240239806115365,-0.0854609537675368,-0.4810059951528841,-0.0213652384418842,-0.6413413268705122,-0.028486984589178935
0.8,0.2,-0.7796439138555055,-0.0673783975327622,-1.0395252184740074,-0.0898378633770163,-0.3898219569277527,-0.033689198766381094,-0.5197626092370037,-0.04491893168850814
0.9,0.1,-0.2458123520176629,-0.0633118970575292,-0.3277498026902172,-0.0844158627433722,-0.2458123520176629,-0.0633118970575292,-0.32774980269021714,-0.0844158627433722
1.0,0.0,-0.0,0.0,-0.0,0.0,0,0,0,0
1.1,-0.1,0.3020007444848617,0.0629564365462275,0.4026676593131489,0.08394191539497,-0.3020007444848617,-0.0629564365462275,-0.40266765931314885,-0.08394191539497
1.2,-0.2,0.300119061903518,0.0567286585005469,0.4001587492046907,0.0756382113340625,-0.150059530951759,-0.02836432925027345,-0.20007937460234534,-0.03781910566703125
1.3,-0.3,0.2134826713311527,0.0581149915413394,0.2846435617748704,0.0774866553884525,-0.07116089044371757,-0.019371663847113134,-0.09488118725829013,-0.025828885129484166
1.4,-0.4,0.1276355967905554,0.0630693600656032,0.1701807957207405,0.084092480087471,-0.03190889919763884,-0.015767340016400795,-0.04254519893018512,-0.021023120021867747
1.5,-0.5,0.0397447690746048,0.0631263573279183,0.0529930254328065,0.0841684764372244,-0.00794895381492096,-0.012625271465583659,-0.0105986050865613,-0.01683369528744488
1.6,-0.6,-0.3200843159456518,-0.0633602442249458,-0.4267790879275358,-0.084480325633261,0.053347385990941965,0.010560040704157633,0.07112984798792264,0.014080054272210166
1.7,-0.7,-0.7806058463727059,-0.0643933778918464,-1.040807795163608,-0.0858578371891285,0.11151512091038655,0.009199053984549486,0.14868682788051546,0.012265405312732642
1.8,-0.8,-1.1174766776800236,-0.0582343702548475,-1.489968903573365,-0.0776458270064634,0.13968458471000292,0.007279296281855936,0.1862461129466706,0.009705728375807925
1.9,-0.9,-1.5904597281747566,-0.0620137478256819,-2.120612970899676,-0.0826849971009092,0.17671774757497294,0.006890416425075766,0.23562366343329735,0.00918722190010102
2.0,-1.0,-2.030505469106462,-0.0659737065625187,-2.7073406254752825,-0.0879649420833583,0.2030505469106462,0.0065973706562518705,0.27073406254752824,0.00879649420833583
