density,rho,rho unc
0.1,-15.3894501944334,-0.07566743595010876
0.2,-10.936445568945397,-0.07905893003657445
0.3,-7.868813596346887,-0.07165791805511783
0.4,-5.492735782168076,-0.07072208776140858
0.5,-3.857158689279763,-0.07111611995152313
0.6,-2.5711377787441996,-0.06484311896792129
0.7,-1.4430179854586522,-0.06409571532565264
0.8,-0.7796439138555055,-0.06737839753276227
0.9,-0.2458123520176629,-0.06331189705752921
1.0,-0.0,0
1.1,0.3020007444848826,0.0629564365462275
1.2,0.300119061903518,0.05672865850054691
1.3,0.21348267133115278,0.058114991541339436
1.4,0.12763559679055542,0.06306936006560326
1.5,0.039744769074604884,0.06312635732791837
1.6,-0.32008431594565184,-0.0633602442249458
1.7,-0.7806058463727059,-0.06439337789184643
1.8,-1.1174766776800236,-0.05823437025484755
1.9,-1.5904597281747566,-0.06201374782568193
2.0,-2.030505469106462,-0.06597370656251873
